MedianRooms,MedianAge,Households,MedianHouseholdIncome,MedianFamilyIncome,PerCapitaIncome,MedianNonfamilyIncome,LandAreakm2,Latitude,Areakm2,WaterAreakm2,CloudCover,HoursofSun,Precipitation,WindSpeed,Desempleo,Ti,pca1,pca2,MedianPrice,State
4.9,54.1,27169,43708,52793,27979,27050,2633.02,27.342627,2864.616,231.596,33,214,1.4,7,6.9,73.14914868140534,-1.0013048489262573,0.1256888155547273,120500,FL
5.4,37.4,338683,60566,73907,33616,39627,2642.341,27.90659,3278.314,635.973,30,235,1.8,8,5.4,61.42344355432999,-1.0304260063466266,1.3963553047359916,233200,FL
5.3,42.2,4939,39215,48511,19028,21278,1240.028,30.866222,1266.626,26.599,40,191,5.9,7,4.9,72.10285907629843,-0.4930721087340991,-0.3511515927079303,86400,FL
5.4,42.2,11459,40754,51744,21058,21951,2376.987,30.787812,2472.31,95.322,40,195,5.0,7,5.5,71.75407779171896,-0.4862739295692411,-0.2275399988276325,101300,FL
5.6,47.3,3796,49081,62571,25795,26853,1549.059,30.424558,1648.618,99.559,39,205,3.7,7,5.4,74.48430853198491,-0.5928973684813534,-0.1211257798527412,137300,FL
5.1,38.6,1655,51734,53625,17022,31923,1407.428,29.990066,1419.075,11.646,39,207,3.5,6,4.6,84.71929084001688,-0.6957977117873083,-0.1820989605720576,100600,FL
5.4,47.0,94332,55792,67676,29426,33802,2430.396,28.764113,2996.523,566.127,34,218,2.0,6,6.2,73.7210721228202,-0.9377309751834434,0.4153994364991698,202500,FL
5.1,48.8,187877,59608,71043,34818,38339,2031.879,26.552134,3140.26,1108.38,28,245,1.3,9,5.3,70.20019502472636,-1.1042739656847238,0.906479746278086,235300,FL
5.1,31.3,61961,54675,77707,31778,33729,1727.139,30.45931,1817.626,90.487,40,200,4.0,6,5.3,55.33899283899284,-0.5908169273157661,0.2180782520198293,212900,FL
5.2,47.0,10747,38951,47963,22772,22553,2896.139,29.284409,3659.121,762.981,35,218,3.1,7,5.5,79.95518234874042,-0.7799954515836544,-0.0586969977642179,119000,FL
4.9,40.6,1602,39121,56063,19585,23564,2164.095,30.259849,2183.678,19.583,39,198,4.6,6,4.5,77.54982415005863,-0.5954716495698538,-0.2782483883885205,83700,FL
5.2,44.2,4075,35240,48597,18909,19298,1802.498,30.447228,1853.612,51.114,39,205,3.7,7,5.8,68.90986601705238,-0.6573146215579928,-0.2139253600868399,89100,FL
5.1,48.8,99157,59963,73429,35146,35914,1924.182,27.481386,2312.027,387.845,29,241,2.0,9,5.1,71.05569115393796,-1.0143181155125325,0.5315417985749462,250700,FL
5.3,48.7,94676,46587,56181,26990,28421,4103.956,29.202805,4306.141,202.185,34,223,2.3,6,6.0,73.38244605301436,-0.902077995152157,0.3703357482797617,151700,FL
5.3,52.7,40162,65821,85508,43758,40857,1407.565,27.079954,1949.817,542.252,35,204,1.8,9,4.4,78.82708670276351,-0.8865174165071925,0.4440825396219843,293000,FL
4.0,47.9,19513,72012,84215,47382,49365,2546.689,25.601043,9680.143,7133.454,33,205,1.3,9,4.3,58.43517443845157,-1.00099989539905,0.6681716056003129,558100,FL
6.1,45.8,24357,72998,84984,37787,43105,1679.968,30.605926,1880.126,200.159,39,197,2.6,6,4.3,83.27010532764673,-0.5708513491861955,0.2275264139225039,243700,FL
5.5,36.9,51719,64373,80016,34357,40093,2409.329,30.665858,2802.57,393.241,42,184,6.3,7,4.4,66.77726672163556,-0.3646526563793142,0.0698051185877449,234600,FL
5.0,40.9,9837,46097,51754,23133,25237,1991.463,27.385592,2310.028,318.565,32,220,1.4,7,4.9,73.9963052585018,-1.0174369999445765,0.0406353916532757,116500,FL
5.4,35.3,309344,61416,70209,31409,42962,2339.87,28.514435,2598.431,258.561,35,211,1.9,6,7.1,57.65876482851544,-0.9323396013469096,1.2082403888023858,257800,FL
5.3,36.0,81168,55538,60198,24146,34258,3438.086,28.059027,3900.278,462.192,34,217,1.6,7,8.5,64.3597784193731,-0.9157271444581326,0.383264980180438,221600,FL
5.3,44.5,139278,53431,66750,29498,31050,1934.426,28.302024,2249.285,314.859,32,228,2.1,7,5.6,71.71071292384622,-0.9836338212681484,0.5337224947464457,173900,FL
4.8,48.4,232884,56419,75478,36754,37188,709.136,27.903122,1575.042,865.906,29,249,2.2,10,5.2,68.41013256332852,-1.041164346806822,1.0907971128299667,219800,FL
5.4,40.2,165183,51535,59623,25820,32157,4656.376,27.953115,5207.302,550.926,35,210,1.8,7,6.7,67.46945329263328,-0.9706025884235492,0.6859633963161704,162400,FL
5.5,45.0,18179,40068,49188,22257,24855,1884.533,29.606006,2141.717,257.184,38,200,2.1,5,7.5,71.03672004417449,-0.7638730813450022,-0.0451271474266963,103400,FL
5.0,56.6,117532,64644,80438,44402,41359,1439.691,27.184386,1878.632,438.941,28,246,1.7,10,5.1,75.31487161012329,-0.992675228048776,0.682182197012337,269300,FL
5.8,39.3,120049,70297,85246,36016,43571,800.879,28.690079,894.308,93.428,34,217,1.8,6,5.3,67.22327378328623,-0.8853855538346824,0.5874288930748184,263700,FL
5.2,68.0,39605,59618,72792,35879,37241,1416.549,28.714294,1501.741,85.192,34,221,2.0,6,6.7,87.51462352209086,-0.9041268294792671,0.2350632495209601,267100,FL
5.3,43.5,10655,46280,54807,23389,22571,1783.341,30.189244,1792.935,9.594,39,207,3.5,6,5.3,78.62548913934906,-0.6672317147471066,-0.1278039352688685,107100,FL
4.9,43.2,5117,38295,51850,19492,22045,2702.148,30.016943,3191.386,489.238,36,212,3.8,7,6.4,75.47264234875445,-0.7001159533824151,-0.1752026956342735,81900,FL
5.2,39.8,2873,55139,59145,20663,36070,630.806,30.05428,646.856,16.05,40,200,2.5,6,4.5,71.48002966415933,-0.6675363879146327,-0.1278117164678499,112600,FL
5.4,46.5,136510,52407,65599,29859,31908,2851.659,29.057617,3709.99,858.331,35,208,2.0,6,5.9,70.5339709774846,-0.8681097571471712,0.5931576865964173,194900,FL
5.3,42.3,8362,67480,76987,28320,41141,1570.617,30.140378,1905.521,334.904,37,207,4.4,7,3.8,84.2691682470875,-0.5753405261107359,-0.0519755776713759,171200,FL
5.1,44.1,20034,67390,78304,35996,35479,2687.436,30.631211,3210.536,523.1,40,188,5.8,7,4.6,74.68624679034073,-0.3862459254598095,-0.003514747609604,245400,FL
5.5,41.3,5945,37260,50387,19375,25629,1509.454,30.602217,1595.314,85.861,41,189,5.6,7,5.5,77.31371405499978,-0.5616127778312952,-0.3146642966399873,120800,FL
